f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,fault,hotel
11.7,8.0,31.9,33.8,0.0,7.6,44.9,280.9,706.7,0.0,52.0,37.0,61.9,129.0,23095.0,379.0,78.4,0.0,3
18.5,17.2,30.7,32.1,137.58,15.1,37.8,384.8,714.8,3.4,70.0,20.0,23.5,37.0,17119.0,368.0,20.8,0.0,1
17.2,17.0,26.8,27.3,0.0,31.1,32.6,436.2,594.3,13.3,67.0,0.0,0.0,0.0,0.0,389.0,0.0,0.0,1
11.5,8.0,32.0,33.7,0.0,7.9,41.9,285.2,666.4,0.0,51.0,36.3,53.3,100.0,21689.0,397.0,62.4,0.0,2
12.4,11.1,14.6,15.7,228.3,12.1,29.0,318.3,492.5,5.8,61.0,20.0,34.1,29.0,18743.0,414.0,16.8,0.0,0
13.8,10.2,29.9,34.8,632.21,10.6,49.1,277.0,948.5,6.5,57.0,28.9,72.4,115.0,25219.0,396.0,71.9,0.0,0
18.7,17.3,33.6,36.1,325.64,15.4,44.0,385.4,862.9,3.5,69.0,20.0,27.2,53.0,19222.0,388.0,31.9,0.0,1
14.3,12.0,30.0,32.7,403.91,13.0,45.4,324.8,865.6,5.9,55.0,33.2,60.4,86.0,22804.0,399.0,52.0,0.0,0
19.8,18.3,24.9,27.3,348.9,15.4,33.4,393.3,649.8,1.9,55.0,27.0,26.4,33.0,14903.0,390.0,19.6,0.0,1
12.2,9.6,33.1,36.0,329.59,12.5,53.6,275.0,953.5,0.0,50.0,41.2,100.0,160.0,24474.0,393.0,100.6,0.0,2
12.3,11.1,14.8,15.8,210.74,22.1,22.3,344.4,381.4,9.3,72.0,0.0,0.0,0.0,0.0,418.0,0.0,0.0,0
12.2,9.5,33.3,36.4,342.27,12.1,51.1,273.8,907.6,0.0,55.0,40.4,63.5,159.0,24137.0,378.0,96.3,0.0,3
22.8,21.5,28.4,28.7,0.0,35.0,35.6,513.5,618.7,11.7,58.0,0.0,0.0,0.0,0.0,425.0,0.0,0.0,1
11.7,8.0,31.9,33.8,0.0,7.6,44.9,280.9,706.7,0.0,52.0,37.0,61.9,129.0,23095.0,379.0,78.4,0.0,2
17.9,17.7,28.1,28.6,46.52,32.6,33.5,442.8,619.2,13.3,55.0,0.0,0.0,0.0,0.0,407.0,0.0,0.0,3
20.0,18.2,32.7,35.6,418.68,15.5,42.9,392.4,886.2,1.6,54.0,24.4,32.7,68.0,19012.0,378.0,39.5,0.0,1
19.7,18.3,30.5,32.3,148.17,14.8,37.1,384.6,732.2,2.1,54.0,30.0,33.1,52.0,16844.0,376.0,30.4,0.0,1
13.2,11.1,24.1,25.7,368.79,12.5,33.0,314.8,619.4,3.6,54.0,24.7,42.0,45.0,18613.0,407.0,26.2,0.0,0
13.1,11.2,29.8,31.8,333.66,12.8,44.6,314.3,788.3,7.8,55.0,23.8,57.7,77.0,24472.0,400.0,46.6,0.0,3
14.6,10.6,29.7,34.1,702.45,11.8,48.9,294.9,960.7,5.9,57.0,27.5,65.9,108.0,24463.0,390.0,65.6,0.0,0
